,Date,Adv,Dec,Adv_Dec_Ratio,Adv_Dec_Ratio_Recalc,Mean_Adv_Dec_Ratio
0,2012-07-30,981,503,1.95,1.9502982107355864,1.0633366964815456
0,2012-07-31,760,676,1.12,1.1242603550295858,1.0472793000318412
0,2012-08-01,966,506,1.91,1.9090909090909092,1.05145466858221
0,2012-08-02,813,641,1.27,1.2683307332293292,1.0450024159930886
0,2012-08-03,598,869,0.69,0.6881472957422324,1.0438236479866556
0,2012-08-06,926,562,1.65,1.6476868327402134,1.0567336373331662
0,2012-08-07,822,656,1.25,1.2530487804878048,1.0649259608868362
0,2012-08-08,602,892,0.67,0.6748878923766816,1.0675493645254321
0,2012-08-09,492,981,0.5,0.5015290519877675,1.0636998591269424
0,2012-08-10,580,897,0.65,0.6465997770345596,1.045273255465307
0,2012-08-13,810,672,1.21,1.2053571428571428,1.0548060282249931
